FIPS,P00_TF_T,P00_TM_T,NMR_TF0,NMR_TF5,NMR_TF10,NMR_TF15,NMR_TF20,NMR_TF25,NMR_TF30,NMR_TF35,NMR_TF40,NMR_TF45,NMR_TF50,NMR_TF55,NMR_TF60,NMR_TF65,NMR_TF70,NMR_TF75,NMR_TF80,NMR_TF85,NMR_TM0,NMR_TM5,NMR_TM10,NMR_TM15,NMR_TM20,NMR_TM25,NMR_TM30,NMR_TM35,NMR_TM40,NMR_TM45,NMR_TM50,NMR_TM55,NMR_TM60,NMR_TM65,NMR_TM70,NMR_TM75,NMR_TM80,NMR_TM85
01001,22441,21538,0.09,0.27,0.29,0.12,-0.15,0.01,0.43,0.47,0.27,0.15,0.09,0.23,0.08,0.15,0.15,0.11,0.12,0.08,0.12,0.33,0.33,0.1,-0.22,-0.08,0.39,0.5,0.32,0.27,0.07,0.17,0.15,0.22,0.17,0.13,0.16,0.22
01003,70947,69192,0.07,0.31,0.38,0.29,-0.03,0.17,0.6,0.48,0.47,0.41,0.44,0.49,0.5,0.49,0.24,0.17,0.16,0.34,0.09,0.35,0.41,0.27,-0.04,0.11,0.67,0.6,0.51,0.45,0.38,0.53,0.57,0.69,0.5,0.25,0.11,0.02
01005,14024,15365,0.04,0.07,0.06,-0.11,-0.29,-0.18,0.02,0.06,0.1,0.05,0.06,0.11,0.11,0.1,0.02,0.04,-0.09,-0.16,0.09,0.04,0.01,-0.04,0.11,0.21,0.54,0.46,0.35,0.17,0.24,0.26,0.21,0.18,0.09,0.01,-0.01,-0.3
01007,10004,10895,0.01,0.26,0.19,0.01,-0.07,-0.01,0.22,0.18,0.18,0.12,0.21,0.12,0.3,0.1,0.12,0.18,-0.04,0,0.1,0.2,0.1,0.01,0.09,0.26,0.49,0.44,0.43,0.38,0.25,0.19,0.5,0.33,0.16,0.2,-0.05,0.46
01009,25282,25496,0.15,0.35,0.3,0.17,0.02,0.13,0.35,0.32,0.22,0.2,0.2,0.24,0.16,0.18,0.19,0.11,0,0.04,0.2,0.36,0.32,0.25,0.1,0.19,0.39,0.37,0.29,0.31,0.19,0.23,0.3,0.23,0.21,0.16,0.2,0.15
01011,5548,6364,0.01,-0.02,-0.19,-0.15,-0.29,-0.27,-0.11,-0.03,0,0.03,0.1,0.09,0.07,0,0,0.07,-0.1,-0.2,-0.07,0.02,-0.18,-0.14,0.15,0.39,0.26,0.16,0.16,0.05,0.24,0.09,0.27,0.09,-0.07,0.01,0.08,0.17
01013,11301,10173,-0.04,0.07,-0.08,-0.11,-0.34,-0.28,-0.03,0.05,-0.06,0.08,0.03,0.11,0.1,0.11,0.01,-0.02,-0.03,-0.15,-0.04,0.12,-0.06,-0.18,-0.4,-0.4,0.04,0.05,0.02,0.08,0.11,0.11,0.16,0.19,0.06,0.01,-0.09,-0.08
01015,58236,54330,-0.08,-0.1,-0.06,-0.02,-0.01,-0.27,-0.23,-0.09,-0.06,-0.03,-0.02,0.01,0.01,0.03,0,-0.02,-0.02,-0.1,-0.09,-0.09,-0.07,-0.02,-0.08,-0.3,-0.28,-0.11,-0.08,-0.04,-0.01,-0.03,0.05,0.05,-0.03,0,-0.05,-0.14
01017,19210,17627,0.06,-0.02,-0.05,-0.13,-0.18,-0.17,-0.07,-0.04,-0.01,0.01,0.04,0.07,0.08,-0.01,0.01,0.02,-0.04,-0.19,0.05,-0.04,-0.09,-0.1,-0.25,-0.19,-0.05,-0.01,0,0.05,0.07,0.07,0.08,0.07,0.04,-0.03,0.01,-0.2
01019,12049,11803,0.11,0.38,0.28,0.12,-0.05,0.05,0.22,0.23,0.28,0.22,0.25,0.41,0.33,0.25,0.16,0.1,0.03,0.17,0.15,0.24,0.23,0.08,-0.16,0.02,0.26,0.31,0.19,0.24,0.3,0.36,0.49,0.58,0.25,-0.01,-0.07,0.03
01021,19928,19792,0.17,0.24,0.25,0.07,0.01,0.11,0.3,0.2,0.16,0.17,0.19,0.19,0.22,0.11,0.1,0.01,-0.07,-0.2,0.2,0.3,0.25,0.13,0,0.15,0.29,0.32,0.22,0.2,0.22,0.2,0.31,0.15,0.2,0.05,0.02,-0.24
01023,8361,7614,0,-0.01,-0.03,-0.11,-0.35,-0.31,-0.03,0.01,-0.03,0.04,0.06,0.07,0.09,-0.04,0.01,0.02,-0.08,-0.25,0.02,-0.01,-0.06,-0.14,-0.43,-0.38,-0.05,-0.02,0.04,0.02,0.11,0.06,0.15,0.17,0.01,0,-0.04,-0.13
01025,14598,13418,-0.05,0.03,0.02,-0.12,-0.33,-0.22,0,0.02,0.04,-0.01,0,0.01,0.01,0.05,-0.03,-0.02,0.03,-0.09,-0.05,-0.02,0.01,-0.1,-0.4,-0.34,-0.05,0.04,0.05,0.05,0.04,0.06,0.02,0.02,0,-0.12,-0.08,-0.06
01027,7243,7007,-0.01,0.11,0.16,-0.02,-0.19,-0.13,0.01,0.1,0.14,0.14,0.03,0.1,0.13,0.04,0.05,0.06,-0.02,-0.11,0.02,0.13,0.07,0.1,-0.21,-0.13,-0.02,0.19,0.1,0.14,0.19,0.04,0.2,0.22,0.09,0.07,0.14,0.02
01029,7016,7051,0.02,0.26,-0.01,0.01,-0.14,-0.04,0.15,0.09,0,0.15,0.18,0.07,0.17,0.08,0.03,-0.05,-0.09,0.11,0.09,0.19,0.13,0.04,-0.21,-0.06,0.09,0.17,0.08,0.26,0.18,0.09,0.27,0.33,-0.01,0.08,-0.1,-0.25
01031,22179,21535,0.04,0.01,0.08,0.1,-0.11,-0.11,0.04,0.02,0.09,0.04,0.02,0.05,0.06,0.05,0.02,0.11,-0.17,0.02,0,0.02,0.1,0.08,-0.08,-0.01,-0.04,-0.02,0.05,0.08,0.03,-0.01,0.08,0.05,0.06,0.06,-0.15,-0.16
01033,28458,26531,0.02,0.13,0.01,0.03,-0.1,0,0.08,0.02,0.05,0.08,0.05,0.06,0.06,0.01,-0.02,-0.05,-0.05,0.05,0.03,0.09,0.04,-0.04,-0.2,-0.06,0.03,0.06,0.12,0.05,0.11,0.09,0.06,0.02,0,-0.05,-0.04,-0.13
01035,7363,6769,-0.06,-0.01,0.06,-0.15,-0.32,-0.2,0.03,0.02,0.01,0.08,0.2,0.15,0.24,0.11,-0.11,-0.11,-0.18,-0.24,-0.01,-0.07,-0.08,-0.13,-0.36,-0.25,0.02,0.02,0.02,0.05,0.21,0.1,0.23,0.18,0.18,-0.04,-0.26,-0.32
01037,5918,6341,0.17,0.14,-0.08,-0.01,-0.2,-0.15,-0.02,0.02,0.13,0.15,0.3,0.06,0.19,0,-0.05,-0.13,-0.13,-0.33,0.27,0.23,0.03,-0.06,0,0.01,0.25,0.23,0.16,0.23,0.24,0.18,0.21,0.05,0.1,0.08,-0.38,-0.36
